Category,Question
언어문학계열,문학 작품을 읽거나 감상하는 것에 대한 흥미 정도를 나타내세요.
언어문학계열,특정 작가의 문체나 스타일에 대한 호감 정도를 나타내세요.
언어문학계열,최근에 읽은 문학 작품과의 연관성에 대한 흥미 정도를 나타내세요.
언어문학계열,문학을 통해 어떤 주제나 관심사를 표현하고 싶은 정도를 나타내세요.
사회계열,사회평소 자신이 미치는 사회적인 영향에 대해 생각해보곤 한다.
사회계열,정치적인 사안이나 정책에 대한 관심 정도를 나타내세요.
사회계열,다양한 문화나 역사적인 측면에 대한 흥미 정도를 나타내세요.
사회계열,사회적인 변화에 기여하거나 참여하고 싶은 욕구 정도를 나타내세요.
농학계열,식물이 죽지 않게 잘 기를 수 있는 정도를 나타내세요.
농학계열,식물이나 동물과의 상호 작용에 대한 흥미 정도를 나타내세요.
농학계열,최신의 농업 기술이나 혁신에 대한 흥미 정도를 나타내세요.
농학계열,꽃과 나무를 기르는 것에 대한 흥미 정도를 나타내세요.
화학생명계열,화학과 생명과학 과목에 대한 자신감 정도를 나타내세요.
화학생명계열,실험이나 연구 활동에 참여하는 것에 대한 흥미 정도를 나타내세요.
화학생명계열,의학이나 생명과학 기술에 대한 흥미 정도를 나타내세요.
화학생명계열,화학이나 생명과학을 통해 환경 보호나 지속 가능한 기술에 참여하고 싶은 정도를 나타내세요.
인문과학계열,정의란 무엇인지에 대해서 생각해 본 적이 있다.
인문과학계열,언어/문학/미술 등과 같은 예술적인 분야에 대한 흥미 정도를 나타내세요.
인문과학계열,다양한 문화와 역사적인 측면에 대한 흥미 정도를 나타내세요.
인문과학계열,철학/사회학/심리학 등과 같은 사회과학적인 주제에 대한 흥미 정도를 나타내세요.
법행정계열,컨닝을 하는 학생을 보면 반드시 선생님께 이야기 한다.
법행정계열,사회 정의와 법에 대한 흥미 정도를 나타내세요.
법행정계열,행정 업무나 정부 서비스에 참여하고 싶은 흥미 정도를 나타내세요.
법행정계열,법적인 문제를 해결하거나 조사하는 과정에 대한 흥미 정도를 나타내세요.
기계전기전자계열,직접 전자제품을 수리해본 적이 있다.
기계전기전자계열,최신 기술 및 공학 도전에 대한 흥미 정도를 나타내세요.
기계전기전자계열,기계나 전자 제품의 설계와 제작에 대한 흥미 정도를 나타내세요.
기계전기전자계열,자동화 기술과 로봇 공학에 대한 흥미 정도를 나타내세요.
보건계열,평소 병원의 간호사를 보며 감사하다는 생각이 들고 그들처럼 되고 싶다는 생각을 한다.
보건계열,환자와의 상담 및 지원 활동에 참여하고 싶은 흥미 정도를 나타내세요.
보건계열,건강 정보 관리나 혁신적인 건강 기술에 대한 흥미 정도를 나타내세요.
보건계열,지역 커뮤니티의 건강을 증진하기 위한 프로젝트에 참여하고 싶은 흥미 정도를 나타내세요.
상경계열,기업의 경영 전략을 세운다.
상경계열,호텔을 경영한다.
상경계열,상사의 일정을 꼼꼼히 관리한다.
상경계열,생고기를 좋아하는 사람에게 양념갈비를 팔 수 있다.
자연과학계열,자연현상이나 물체의 물리적 작동원리를 연구한다.
자연과학계열,물질의 화학적 변화원리나 법칙을 연구한다.
자연과학계열,신기한 것을 보면 왜 그럴까를 깊이 생각한다.
자연과학계열,곤충의 종류를 여러 가지 알고 있다.
정보컴퓨터계열,홈페이지를 예쁘게 디자인한다.
정보컴퓨터계열,로봇의 작동 원리를 알고 있다.
정보컴퓨터계열,표나 그래프를 활용하여 보고서를 작성한다.
정보컴퓨터계열,코딩을 좋아한다.
의약학계열,환자의 병이 치료되고 회복되도록 간호한다.
의약학계열,인체의 구조와 기능 및 생명과학에 대한 지식에 흥미를 느낀다.
의약학계열,응급처치해야 할 때 어떻게 해야 하는지 알고 있다.
의약학계열,침술에 관심이 있다.
광고언론정보계열,무대 위에서 노래한다.
광고언론정보계열,사회의 사건ㆍ사고 등 정보를 취재하고 보도한다.
광고언론정보계열,그림을 그리거나 창의적인 작품을 만든다.
광고언론정보계열,친구들과 다른 나만의 패션 스타일을 추구한다.
생활과학계열,음식의 영양분에 관심이 있다.
생활과학계열,용돈기입장 혹은 가계부를 작성한다.
생활과학계열,생활 속에서 환경에 미치는 영향을 이해한다.
생활과학계열,평소에 요리하는 것을 좋아한다.
건축 환경 계열,주변의 공간을 세밀하게 파악하고 공간의 구성과 배치에 대한 민감성이 있다.
건축 환경 계열,건축 기술과 공학에 관심이 있다.
건축 환경 계열,건물을 보고 그 구조에 대해 고민해 본 적 있다.
건축 환경 계열,내진 설계에 대해 알고 있다.
교육계열,자원봉사활동을 한다.
교육계열,누군가를 가르치는 것을 좋아한다.
교육계열,평소에 다문화 가정에 대해 관심이 있다.
교육계열,수시 정시 정책이 무엇인지 알고 있다.